牛津
位置：东经 45°0′9″，北纬 20°7′2″，纬度 51.761，经度 -1.262，海拔 63 米
估算数据在数值后标有 *。
缺失数据（一个月内缺失超过 2 天）用 --- 标记。
日照数据取自标有 # 的 Kipp & Zonen 自动传感器，否则日照数据取自 Campbell Stokes 记录仪。
   年 月 最高气温 最低气温 雨 太阳
              摄氏度 天 毫米 小时
   1853 1 8.4 2.7 4 62.8 ---
   1853 2 3.2 -1.8 19 29.3 ---
   1853 3 7.7 -0.6 20 25.9 ---
   1853 4 12.6 4.5 0 60.1 ---
   1853 5 16.8 6.1 0 59.5 ---
   1853 6 20.1 10.7 0 82.0 ---
   1853 7 21.2 12.2 0 86.2 ---
   1853 8 20.2 10.8 0 72.3 ---
   1853 9 17.3 8.4 0 51.3 ---
   1853 10 13.9 7.4 0 102.3 ---
   1853 11 8.7 2.3 10 49.6 ---
   1853 12 3.7 -1.3 19 10.7 ---
   1854 1 6.7 1.5 11 54.5 ---
   1854 2 8.0 0.6 12 22.6 ---
   1854 3 11.2 2.2 8 10.6 ---
   1854 4 15.0 3.5 2 19.9 ---
   1854 5 16.2 5.7 1 82.1 ---
   1854 6 18.6 9.7 0 45.2 ---
   1854 7 21.7 11.6 0 37.2 ---
   1854 8 20.9 10.7 0 45.4 ---
   1854 9 20.2 8.4 0 11.4 ---
   1854 10 13.9 5.6 2 57.7 ---
   1854 11 8.2 2.0 5 32.4 ---
   1854 12 8.3 2.1 8 30.7 ---
   1855 1 4.4 -0.4 18 6.9 ---
   1855 2 1.7 -4.5 20 33.7 ---
   1855 3 7.7 0.1 15 56.0 ---
   1855 4 13.0 2.7 9 10.6 ---
   1855 5 15.0 4.9 3 45.1 ---
   1855 6 19.4 9.3 0 60.0 ---
   1855 7 22.8 13.4 0 129.3 ---
   1855 8 21.7 12.2 0 42.6 ---
   1855 9 19.0 10.4 0 59.7 ---
   1855 10 14.0 8.2 0 143.1 ---
   1855 11 7.9 3.4 4 25.2 ---
   1855 12 5.7 -0.1 13 28.1 ---
   1856 1 6.8 2.0 10 74.7 ---
   1856 2 8.2 3.0 8 33.4 ---
   1856 3 7.9 0.6 11 23.9 ---
   1856 4 12.9 4.1 2 64.9 ---
   1856 5 14.0 5.7 2 110.1 ---
   1856 6 20.2 9.5 0 64.8 ---
   1856 7 22.2 11.3 0 15.8 ---
   1856 8 22.7 12.5 0 81.8 ---
   1856 9 16.8 8.5 0 80.3 ---
   1856 10 13.9 6.9 1 60.3 ---
   1856 11 8.1 2.3 8 24.2 ---
   1856 12 7.3 1.4 12 52.0 ---
   1857 1 5.1 -0.6 17 80.7 ---
   1857 2 7.6 0.4 11 8.2 ---
   1857 3 9.1 1.8 10 39.2 ---
   1857 4 11.9 3.7 3 51.3 ---
   1857 5 16.5 6.3 4 30.3 ---
   1857 6 22.0 10.6 0 77.0 ---
   1857 7 22.0 12.7 0 80.5 ---
   1857 8 22.8 13.2 0 93.5 ---
   1857 9 19.0 11.2 0 99.0 ---
   1857 10 14.6 7.8 0 116.3 ---
   1857 11 10.2 4.5 2 42.6 ---
   1857 12 9.6 4.5 3 16.8 ---
   1858 1 6.4 -0.1 20 17.3 ---
   1858 2 4.7 -1.2 18 45.0 ---
   1858 3 9.4 1.1 12 20.4 ---
   1858 4 13.1 4.0 2 90.1 ---
   1858 5 15.9 6.2 0 59.5 ---
   1858 6 23.6 11.9 0 40.4 ---
   1858 7 20.8 10.6 0 58.3 ---
   1858 8 21.4 11.3 0 36.4 ---
   1858 9 19.5 11.2 0 63.4 ---
   1858 10 13.4 6.9 0 50.4 ---
   1858 11 7.4 0.8 12 17.9 ---
   1858 12 7.2 2.4 2 54.5 ---
   1859 1 7.5 1.8 9 20.8 ---
   1859 2 9.4 2.7 5 43.1 ---
   1859 3 11.2 4.7 4 38.2 ---
   1859 4 12.3 3.5 8 63.9 ---
   1859 5 16.6 6.7 0 47.3 ---
   1859 6 20.7 11.1 0 57.4 ---
   1859 7 25.1 13.7 0 71.2 ---
   1859 8 21.8 12.5 0 97.2 ---
   1859 9 17.4 9.4 0 89.8 ---
   1859 10 13.7 6.6 6 76.3 ---
   1859 11 8.5 1.5 8 52.8 ---
   1859 12 5.0 -1.1 14 46.6 ---
   1860 1 6.8 0.8 12 82.8 ---
   1860 2 5.2 -1.6 20 32.6 ---
   1860 3 8.4 1.9 8 48.4 ---
   1860 4 10.6 1.7 5 14.8 ---
   1860 5 17.0 7.7 0 70.9 ---
   1860 6 17.0 9.5 0 129.8 ---
   1860 7 19.3 10.3 0 60.8 ---
   1860 8 17.9 10.9 0 96.7 ---
   1860 9 15.6 7.0 0 64.0 ---
   1860 10 13.4 7.3 1 39.9 ---
   1860 11 7.4 2.1 2 82.1 ---
   1860年12月4日----66.6---
   1861 1 3.8 -0.7 16 16.8 ---
   1861 2 7.9 3.1 4 48.0 ---
   1861 3 10.1 3.4 1 43.1 ---
   1861 4 11.8 3.0 5 17.7 ---
   1861 5 16.1 6.5 1 34.9 ---
   1861 6 20.0 11.2 0 79.9 ---
   1861 7 19.7 12.0 0 130.8 ---
   1861 8 21.6 12.7 0 15.1 ---
   1861 9 17.9 9.9 0 49.6 ---
   1861 10 16.2 9.5 0 40.8 ---
   1861 11 8.4 1.6 10 78.4 ---
   1861 12 7.0 1.5 12 41.9 ---
   1862 1 6.6 2.2 8 62.2 ---
   1862 2 7.3 3.4 4 7.3 ---
   1862 3 9.4 3.9 4 138.9 ---
   1862 4 12.9 6.2 4 57.6 ---
   1862 5 17.6 9.2 0 95.5 ---
   1862 6 18.1 9.6 0 56.8 ---
   1862 7 19.9 10.6 0 44.8 ---
   1862 8 20.0 10.5 0 44.7 ---
   1862 9 18.2 9.9 0 55.1 ---
   1862 10 14.5 7.6 1 73.1 ---
   1862 11 6.7 0.4 14 25.3 ---
   1862 12 9.2 3.8 0 36.0 ---
   1863 1 7.7 2.5 2 82.1 ---
   1863 2 9.1 2.7 7 17.1 ---
   1863 3 10.8 1.9 9 17.3 ---
   1863 4 14.2 4.7 2 35.5 ---
   1863 5 16.4 6.0 0 23.2 ---
   1863 6 19.3 9.6 0 86.6 ---
